SchoolYear,TestType,TestPopulation,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalSurpassed,TotalAttained,TotalEmergingTowards,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentSurpassed,PercentAttained,PercentEmergingTowards,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,MeanPtsEarned,MinScaleScore,MaxScaleScore,ScaleScore25,ScaleScore50,ScaleScore75
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Students Without Disabilities,48,467,1375,722,N/A,N/A,N/A,515,2097,2612,1.8,17.9,52.6,27.6,N/A,N/A,N/A,19.7,80.3,2082.20,19.70,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,All Students,48,474,1500,932,N/A,N/A,N/A,522,2432,2954,1.6,16.0,50.8,31.6,N/A,N/A,N/A,17.7,82.3,2080.50,19.60,N/A,2029,2160,2067.00,2076.00,2092.00
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Economically Disadvantaged,30,351,1245,789,N/A,N/A,N/A,381,2034,2415,1.2,14.5,51.6,32.7,N/A,N/A,N/A,15.8,84.2,2079.30,18.80,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Not Economically Disadvantaged,18,123,255,143,N/A,N/A,N/A,141,398,539,3.3,22.8,47.3,26.5,N/A,N/A,N/A,26.2,73.8,2085.70,21.70,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Native Hawaiian or Other Pacific Islander,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,American Indian or Alaska Native,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Black or African American,38,390,1249,743,N/A,N/A,N/A,428,1992,2420,1.6,16.1,51.6,30.7,N/A,N/A,N/A,17.7,82.3,2080.70,19.40,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Hispanic of Any Race,<3,*,193,155,N/A,N/A,N/A,45,348,393,<=1%,*,49.1,39.4,N/A,N/A,N/A,11.5,88.5,2076.50,17.40,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,White,<3,*,19,18,N/A,N/A,N/A,14,37,51,<=10%,*,37.3,35.3,N/A,N/A,N/A,27.5,72.5,2081.50,21.30,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Two or More Races,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
