SchoolYear,Total Enrolled in an IHE within 0-48 months,Total % Enrolled in an IHE within 0-48 months,Total Accumulating 24 Credits within 0-12 months,Total % Accumulating 24 Credits  within 0-12 months,Total Accumulating 24 Credits within 0-16 months,Total % Accumulating 24 Credits  within 0-16 months,Total Accumulating 24 Credits within 0-24 months,Total % Accumulating 24 Credits  within 0-24 months,ISD Code,ISD OfficialName,DistrictCode,DistrictOfficialName,BuildingCode,BuildingOfficialName,CharterName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,IHE Type,Subgroup,Gender,Total Graduates (All Students),Total Enrolled in an IHE within 0-6 months,Total % Enrolled in an IHE within 0-6 months,Total Enrolled in an IHE within 0-12 months,Total % Enrolled in an IHE within 0-12 months,Total Enrolled in an IHE within 0-16 months,Total % Enrolled in an IHE within 0-16 months,Total Enrolled in an IHE within 0-24 months,Total % Enrolled in an IHE within 0-24 months,Total Enrolled in an IHE within 0-36 months,Total % Enrolled in an IHE within 0-36 months
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,All,All Students,Female,1651,863,52.2714,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,All,Asian,Female,42,36,85.7143,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Four Year,Native Hawaiian or Other Pacific Islander,Female,<10,<10,14.2857,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,All,Students With Disabilities,All Students,312,69,22.1154,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Four Year,Hispanic/Latino,Male,163,33,20.2454,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Two Year,Homeless,All Students,<10,<10,11.1111,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,All,Hispanic/Latino,All Students,370,142,38.3784,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Four Year,Economically Disadvantaged,All Students,2410,673,27.9253,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Four Year,Homeless,All Students,<10,<10,11.1111,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Four Year,White,Male,22,<10,27.2727,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,All,Hispanic/Latino,Female,207,86,41.5459,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Four Year,Native Hawaiian or Other Pacific Islander,All Students,<10,<10,14.2857,,,,,,,,
