"SchoolYear","IsdCode","IsdName","DistrictCode","DistrictName","BuildingName","BuildingCode","EntityType","Grade","Subject","TestingGroup","NumberAboveAverageGrowth","NumberAverageGrowth","NumberBelowAverageGrowth","PercentAboveAverage","PercentAverageGrowth","PercentBelowAverage","TotalIncluded","MeanSGP"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","08","English Language Arts","Students without Disabilities","722","880","608","32.70","39.80","27.50","2210","52.90"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","English Language Arts","Students without Disabilities","437","944","1014","18.20","39.40","42.30","2395","40.50"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","04","English Language Arts","Students without Disabilities","504","1140","1307","17.10","38.60","44.30","2951","39.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","05","English Language Arts","Students without Disabilities","710","1161","989","24.80","40.60","34.60","2860","46.30"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","English Language Arts","Students without Disabilities","3898","6249","5499","24.90","39.90","35.10","15646","46.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","06","English Language Arts","Students without Disabilities","765","1100","875","27.90","40.10","31.90","2740","49.00"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","07","English Language Arts","Students without Disabilities","760","1024","706","30.50","41.10","28.40","2490","51.10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","07","Mathematics","Students with Disabilities","93","183","211","19.10","37.60","43.30","487","40.40"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","05","Mathematics","Students with Disabilities","95","154","200","21.20","34.30","44.50","449","40.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","04","Mathematics","Students with Disabilities","56","119","224","14.00","29.80","56.10","399","33.30"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Mathematics","Students with Disabilities","33","113","138","11.60","39.80","48.60","284","35.90"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","08","Mathematics","Students with Disabilities","86","168","182","19.70","38.50","41.70","436","41.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","06","Mathematics","Students with Disabilities","78","154","228","17.00","33.50","49.60","460","36.70"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Mathematics","Students with Disabilities","441","891","1183","17.50","35.40","47.00","2515","38.40"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Social Studies","Students without Disabilities","909","1630","1732","21.30","38.20","40.60","4271","42.30"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","08","Social Studies","Students without Disabilities","438","762","796","21.90","38.20","39.90","1996","43.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Social Studies","Students without Disabilities","471","868","936","20.70","38.20","41.10","2275","41.60"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","07","Science","All Students","< 10","15","38","13.10","24.60","62.30","61","32.00"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","07","Science","Economically Disadvantaged","< 10","14","33","13.00","25.90","61.10","54","31.40"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","07","Science","Not Economically Disadvantaged","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","07","Science","Black, not of Hispanic origin","< 10","15","37","13.30","25.00","61.70","60","32.10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","07","Science","Hispanic","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","07","Science","Male","< 10","11","21","20.00","27.50","52.50","40","38.40"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","07","Science","Female","< 10","< 10","17","< 5","19.00","81.00","21","19.90"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","07","Science","English Learners","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","07","Science","Not English Learners","< 10","15","37","13.30","25.00","61.70","60","32.10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","07","Science","Not Migrant","< 10","15","38","13.10","24.60","62.30","61","32.00"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Science","All Students","< 10","15","38","13.10","24.60","62.30","61","32.00"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Science","Economically Disadvantaged","< 10","14","33","13.00","25.90","61.10","54","31.40"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Science","Not Economically Disadvantaged","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Science","Black, not of Hispanic origin","< 10","15","37","13.30","25.00","61.70","60","32.10"
