,SCHOOL YEAR,SCH NAME,StateLocalPpeSchoolShare,StateLocalPpeDistrictShare,FederalPpeSchoolShare,FederalPpeDistrictShare,TotalPpeSchoolShare,TotalPpeDistrictShare,TotalPpeTotal,StreetAddress,City,ZipCode,Students,Teachers,SY1819 SCH_OR_LEA_TYPE,SY 1819 CHARTER_TEXT,SY1819 LEVEL,studentsperteacher,Not Title I Funded,Title I Funded,SchoolYear,BuildingName,SchoolLevel,Grade,Subject,TestingGroup,NumberAboveAverageGrowth,NumberAverageGrowth,NumberBelowAverageGrowth,PercentAboveAverage,PercentAverageGrowth,PercentBelowAverage,TotalIncluded,MeanSGP
0,2018-19,COMMUNICATION AND MEDIA ARTS HIGH SCHOOL,7441.53,4590.77,852.03,937.63,8293.56,5528.4,13821.96,14771 MANSFIELD ST,DETROIT,48227,577,24.0,Regular School,No,High,24.041666666666668,0,1,2018-2019,COMMUNICATION AND MEDIA ARTS HIGH SCHOOL,High School,All Grades,Social Studies,All Students,34.0,46.0,20.0,34.0,46.0,20.0,100.0,56.5
24,2018-19,COMMUNICATION AND MEDIA ARTS HIGH SCHOOL,7441.53,4590.77,852.03,937.63,8293.56,5528.4,13821.96,14771 MANSFIELD ST,DETROIT,48227,577,24.0,Regular School,No,High,24.041666666666668,0,1,2018-2019,COMMUNICATION AND MEDIA ARTS HIGH SCHOOL,High School,All Grades,English Language Arts,All Students,22.0,50.0,29.0,21.8,49.5,28.7,101.0,46.1
51,2018-19,COMMUNICATION AND MEDIA ARTS HIGH SCHOOL,7441.53,4590.77,852.03,937.63,8293.56,5528.4,13821.96,14771 MANSFIELD ST,DETROIT,48227,577,24.0,Regular School,No,High,24.041666666666668,0,1,2018-2019,COMMUNICATION AND MEDIA ARTS HIGH SCHOOL,High School,All Grades,Mathematics,All Students,26.0,39.0,36.0,25.7,38.6,35.6,101.0,47.3
66,2018-19,DETROIT SCHOOL OF ARTS,9830.65,4590.77,1213.57,937.63,11044.22,5528.4,16572.62,123 SELDEN ST,DETROIT,48201,435,29.0,Regular School,No,High,15.0,0,1,2018-2019,DETROIT SCHOOL OF ARTS,High School,All Grades,Social Studies,All Students,16.0,46.0,29.0,17.6,50.5,31.9,91.0,45.0
110,2018-19,DETROIT SCHOOL OF ARTS,9830.65,4590.77,1213.57,937.63,11044.22,5528.4,16572.62,123 SELDEN ST,DETROIT,48201,435,29.0,Regular School,No,High,15.0,0,1,2018-2019,DETROIT SCHOOL OF ARTS,High School,All Grades,English Language Arts,All Students,14.0,29.0,47.0,15.6,32.2,52.2,90.0,36.5
118,2018-19,DETROIT SCHOOL OF ARTS,9830.65,4590.77,1213.57,937.63,11044.22,5528.4,16572.62,123 SELDEN ST,DETROIT,48201,435,29.0,Regular School,No,High,15.0,0,1,2018-2019,DETROIT SCHOOL OF ARTS,High School,All Grades,Mathematics,All Students,11.0,27.0,52.0,12.2,30.0,57.8,90.0,31.5
138,2018-19,DAVIS AEROSPACE TECHNICAL HIGH SCHOOL AT GOLIGHTLY,11755.53,4590.77,3135.92,937.63,14891.46,5528.4,20419.86,900 Dickerson St,Detroit,48215,168,12.0,Regular School,No,High,14.0,0,1,2018-2019,DAVIS AEROSPACE TECHNICAL HIGH SCHOOL AT GOLIGHTLY,High School,All Grades,Mathematics,All Students,5.0,15.0,22.0,11.9,35.7,52.4,42.0,34.8
155,2018-19,DAVIS AEROSPACE TECHNICAL HIGH SCHOOL AT GOLIGHTLY,11755.53,4590.77,3135.92,937.63,14891.46,5528.4,20419.86,900 Dickerson St,Detroit,48215,168,12.0,Regular School,No,High,14.0,0,1,2018-2019,DAVIS AEROSPACE TECHNICAL HIGH SCHOOL AT GOLIGHTLY,High School,All Grades,English Language Arts,All Students,5.0,18.0,17.0,16.7,42.9,40.5,42.0,40.2
166,2018-19,DAVIS AEROSPACE TECHNICAL HIGH SCHOOL AT GOLIGHTLY,11755.53,4590.77,3135.92,937.63,14891.46,5528.4,20419.86,900 Dickerson St,Detroit,48215,168,12.0,Regular School,No,High,14.0,0,1,2018-2019,DAVIS AEROSPACE TECHNICAL HIGH SCHOOL AT GOLIGHTLY,High School,All Grades,Social Studies,All Students,5.0,14.0,17.0,20.5,35.9,43.6,39.0,40.6
186,2018-19,WEST SIDE ACADEMY OF INFORMATION TECHNOLOGY AND CYBER SECURITY,10167.16,4590.77,1077.99,937.63,11245.15,5528.4,16773.55,4701 McKinley,DETROIT,48208,482,23.0,Alternative School,No,High,20.956521739130434,0,1,2018-2019,WEST SIDE ACADEMY OF INFORMATION TECHNOLOGY AND CYBER SECURITY,High School,All Grades,Social Studies,All Students,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
225,2018-19,WEST SIDE ACADEMY OF INFORMATION TECHNOLOGY AND CYBER SECURITY,10167.16,4590.77,1077.99,937.63,11245.15,5528.4,16773.55,4701 McKinley,DETROIT,48208,482,23.0,Alternative School,No,High,20.956521739130434,0,1,2018-2019,WEST SIDE ACADEMY OF INFORMATION TECHNOLOGY AND CYBER SECURITY,High School,All Grades,English Language Arts,All Students,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
